Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-12-14,951.7,928.45,931.5,2558651,23953.04471,10328
2018-12-17,937.2,925.4,935.3,2284630,21301.60575,7567
2018-12-18,938.75,930.8,933,2222788,20776.58439,7346
2018-12-19,941.55,927.5,929.2,2237859,20893.7677,9046
2018-12-20,933,922.2,926.75,1630740,15133.66193,9183
2018-12-21,927.85,897.25,900.05,2972085,26979.59017,17493
2018-12-24,902.8,874,879.85,2554749,22632.63597,29481
2018-12-26,900,868.2,889.15,3840772,34087.60866,30921
2018-12-27,897.8,881.5,887.65,2160188,19187.39833,15726
2018-12-28,925.75,898.8,922.7,8067914,73704.92231,22161
2018-12-31,939.5,920.35,931,4917511,45881.92475,14702
2019-01-01,934.2,923,928,2064502,19169.42769,5069
2019-01-02,937,923.3,932.15,2672587,24923.414,9947
2019-01-03,944.95,928,931.2,3292918,30786.56723,10842
2019-01-04,938.9,920.2,928.45,2340304,21741.71103,8399
2019-01-07,964,934.1,944.05,5337211,50721.36801,15813
2019-01-08,950,938.55,946.15,2039160,19257.79679,7618
2019-01-09,955.35,945.35,952.95,2115974,20122.55523,8010
2019-01-10,969.4,948.55,966.7,2450895,23536.63389,12492
2019-01-11,969.5,956.8,959.3,1535995,14767.28779,9078
2019-01-14,961.35,949,957.5,864306,8258.205803,7219
2019-01-15,970.7,955.1,968.3,1452136,14022.92102,7283
2019-01-16,970.4,959.3,961.2,1118736,10788.96572,4953
2019-01-17,965,951.55,961.55,1303576,12508.36711,6382
2019-01-18,965,954.05,960.95,1168989,11225.50418,7692
2019-01-21,965.8,957,962.75,1035360,9957.578628,7611
2019-01-22,986.4,958.7,982.65,2797244,27265.42401,17059
2019-01-23,987.4,957.6,962.15,1574247,15318.38271,11971
2019-01-24,972.3,955.9,969.65,1246903,12057.81403,12100
2019-01-25,984,969.15,978,1985833,19397.20442,14740
2019-01-28,981.2,955.2,958.65,1499181,14467.77379,20915
2019-01-29,970,945,966.1,1411027,13581.55357,18165
2019-01-30,974.95,960.05,968.9,1468812,14214.53859,18790
2019-01-31,1000,966.5,995.8,2306391,22744.35355,30008
2019-02-01,1005,985.1,991.55,3424938,33964.15409,15203
2019-02-04,1050,1009.05,1025.75,9556052,98651.32638,41999
2019-02-05,1074,1020,1066.7,7144200,75396.53156,36804
2019-02-06,1072,1050.5,1059.05,2449722,25926.0084,14468
2019-02-07,1067.05,1050,1056.8,1293109,13656.23619,8881
2019-02-08,1076.85,1047.6,1053.25,2576054,27374.52883,17430
2019-02-11,1063.5,1045.2,1056.4,1057548,11138.66032,8423
2019-02-12,1073.95,1050.1,1066.25,3075801,32777.72463,15502
2019-02-13,1071.25,1047.8,1050.95,1185932,12546.50898,9283
2019-02-14,1063.95,1030.5,1042.25,2182379,22687.20329,14818
2019-02-15,1052,1016.8,1039,2566210,26481.42218,21288
2019-02-18,1040.65,1021.3,1027.35,1023065,10512.43362,8156
2019-02-19,1049.8,1025.3,1028.8,1551617,16120.8222,11172
2019-02-20,1044.4,1027.5,1032.75,1506583,15582.74177,14687
2019-02-21,1045,1031.25,1042.5,1220939,12680.1562,12992
2019-02-22,1044,1030.3,1041.6,1298608,13475.40253,10778
2019-02-25,1055,1035.6,1043,1691809,17639.58762,10684
2019-02-26,1041.9,1016.05,1038.35,1906268,19632.9227,20237
2019-02-27,1047.15,1013.95,1016.25,1897310,19496.1712,22790
2019-02-28,1033.8,1002.05,1025.2,5080712,51618.58085,33317
