Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-05-10,343.75,332.75,333.6,11158000,37568.79889,34792
2018-05-11,334,330,330.8,7365579,24430.0811,26245
2018-05-14,333,323,323.6,8312976,27075.09904,28928
2018-05-15,324.05,305.7,310.1,15323964,48269.23268,56047
2018-05-16,315.75,306.7,310.25,12051269,37503.97571,34270
2018-05-17,319.5,309.3,314.9,10214660,32201.3872,33242
2018-05-18,315,303.5,304.6,11688577,35896.33648,32808
2018-05-21,307.2,294.7,295.9,11549490,34556.95179,42977
2018-05-22,312.5,296.55,307.7,17199292,52456.49679,72629
2018-05-23,317.25,305.4,309.45,17698475,55261.28618,72100
2018-05-24,307.65,284.1,288.65,46104103,134324.7475,159220
2018-05-25,297.45,286.25,294.15,19240172,56420.88163,64033
2018-05-28,299.9,290.3,296.3,8516862,25261.72398,52359
2018-05-29,300,293,294.65,9816561,29228.52439,63876
2018-05-30,292.25,286.15,288.9,11649429,33773.0235,74553
2018-05-31,290.85,281.6,282.5,28771987,81740.41459,94892
2018-06-01,290.35,283.05,287.2,15840810,45584.79297,50521
2018-06-04,293.85,286,286.65,10835487,31372.65392,35200
2018-06-05,288.25,283.6,284.95,7456195,21276.05687,28486
2018-06-06,296.9,285.25,295.65,19754001,57693.25692,59917
2018-06-07,306.9,295.25,305.4,22839023,68810.07435,71472
2018-06-08,315.55,302.4,309.95,27249374,84836.16458,76871
2018-06-11,313.9,306.65,309.75,14650133,45547.37622,47681
2018-06-12,313.65,307.2,307.8,7932388,24631.06957,29671
2018-06-13,311.25,307,308.4,7280886,22520.73345,30034
2018-06-14,309.6,303.8,305.9,6532693,19974.17558,27843
2018-06-15,307.65,300.55,302.95,8224497,25000.27887,28545
2018-06-18,311,302.1,308.8,8787098,27058.15364,38696
2018-06-19,312.8,303.3,305.05,10498362,32297.62608,40695
2018-06-20,308.25,304.05,305.6,6607472,20216.18633,24241
2018-06-21,308.5,305.5,307,5085379,15610.77345,26367
2018-06-22,308.9,303.2,308,6033095,18506.58033,39503
2018-06-25,306.3,287.6,289.4,16392183,48398.38511,90496
2018-06-26,288.4,275.1,276.85,30728620,86003.6704,113319
2018-06-27,279.5,270,271.05,19077416,52397.79926,86124
2018-06-28,272.65,261.85,263.35,19507165,52073.5775,107754
2018-06-29,270.5,262.65,269.3,14765516,39500.91911,44140
2018-07-02,276.05,265.6,266.7,16495647,44466.97752,49561
2018-07-03,271.5,267.2,269.45,11484332,30967.50524,34767
2018-07-04,271.5,265.65,267.05,7394858,19817.06497,30850
2018-07-05,263.75,252.55,261.55,20820454,54019.6465,68852
2018-07-06,272.5,261.85,270.85,19215897,51925.07548,52977
2018-07-09,277,272.05,273.5,9387556,25795.04842,33959
2018-07-10,276.9,272.9,275.45,6351033,17477.87026,23585
2018-07-11,276.4,267.1,267.8,7356582,19888.33726,30312
2018-07-12,272,265.5,266.1,8573517,23002.76551,34746
2018-07-13,269.4,262.7,263.6,8352827,22210.27465,34211
2018-07-16,260.8,250.5,252.1,11067012,28290.11066,55819
2018-07-17,259,252.3,257.95,6350966,16293.54597,37398
2018-07-18,259.45,247.3,251.85,9348644,23615.21357,52646
2018-07-19,257.85,251.2,252.5,9556686,24325.57836,40383
2018-07-20,254,251,253.4,6422014,16231.02951,31549
2018-07-23,259.5,251.1,258.75,8891743,22751.45756,52154
2018-07-24,263.75,257.1,258.8,9906160,25776.77193,55085
2018-07-25,261.7,256.1,257.85,6721386,17374.16472,63326
2018-07-26,263,257.5,258.25,8817721,22929.42888,80541
2018-07-27,269.7,258.55,268.15,15275469,40661.60566,44866
2018-07-30,271.65,266.2,267.5,7801098,21000.75134,29687
2018-07-31,270.45,262.2,264.1,10026055,26565.04311,49931
2018-08-01,268,250,265.05,53282545,138567.2082,168788
2018-08-02,266.45,258.7,260.85,17421472,45750.85041,54131
2018-08-03,263.85,257.6,258.45,9044248,23601.77002,32352
2018-08-06,261.8,252.5,254.05,11371744,29289.54669,38056
2018-08-07,256,250.55,251.6,14490829,36682.50167,37612
2018-08-08,258.25,251.85,255.15,16125867,41180.52351,37834
2018-08-09,260.4,255.5,257.85,7777719,20096.49693,27001
2018-08-10,258.65,249.55,250.1,14606037,36890.22002,41369
2018-08-13,249.7,243.1,248.7,13877900,34329.57569,37779
2018-08-14,249.85,247.2,248.8,9171033,22794.87011,21600
2018-08-16,252.8,245.25,251.3,14148347,35397.34482,43056
2018-08-17,260.1,253,258.25,16117660,41384.34027,41082
2018-08-20,271.85,259.2,270.1,25576718,68451.19619,90026
2018-08-21,274.7,266.7,268.8,19505584,53001.72763,78368
2018-08-23,269.2,256,256.9,18667622,48564.7881,72869
2018-08-24,258.65,255,255.5,8703468,22349.91162,42801
2018-08-27,259.5,256.5,258.8,6127707,15824.59588,46154
2018-08-28,263.25,259.05,260,8506857,22214.5547,61772
2018-08-29,263.5,261,261.7,5117552,13426.56977,57912
2018-08-30,263,259,259.35,6333570,16491.37025,62178
2018-08-31,268.25,258.1,267.5,12360078,32681.16234,46353
2018-09-03,273,265.25,266.6,14597832,39297.4246,47086
2018-09-04,270.8,260.35,261.95,14775900,39257.4932,44976
2018-09-05,271,255.4,266.5,10084307,26420.88211,59248
2018-09-06,272,263.85,269.95,14736214,39551.12115,56068
2018-09-07,279.9,269.25,277.4,26189156,72383.38281,86332
2018-09-10,282,271.75,275.7,21322969,59153.44895,74705
2018-09-11,278.85,265.7,267.3,13444031,36681.14438,51191
2018-09-12,268.2,258.85,262.4,14456273,37882.95435,50616
2018-09-14,269.6,263.4,266.6,10710620,28560.89711,37758
2018-09-17,264.1,259.65,260.25,9461420,24800.74283,36123
2018-09-18,259.8,250.6,251.5,11554420,29510.44778,51701
2018-09-19,255,251,252.6,7845650,19857.67807,37958
2018-09-21,257.7,228.85,250.35,18547453,46348.99784,78882
2018-09-24,251,239.35,240.2,8889259,21725.73032,56948
2018-09-25,243.5,235.45,240.8,9030367,21668.39777,65340
2018-09-26,243.2,229.55,233.35,17810869,41656.11348,100057
2018-09-27,236.55,223.1,225.25,17430781,39805.46037,89992
2018-09-28,230.7,219.5,223.7,14196824,32034.91074,45793
2018-10-01,230.45,220,229.35,9743094,21960.97865,35894
2018-10-03,232.8,225.8,227.6,9094685,20842.03953,30745
2018-10-04,230.8,221.75,223.25,13898979,31357.47886,35315
2018-10-05,226.45,214.75,216.25,10471026,23121.41999,32149
2018-10-08,218.5,208.1,212.35,11854170,25361.34501,36598
2018-10-09,206,170.3,184.35,142760251,263261.6969,232589
2018-10-10,190.95,185.05,188.75,35670907,67056.14097,79279
2018-10-11,187.75,178,182.95,19323517,35665.97372,53215
2018-10-12,188.4,182.6,183.75,18014894,33353.70341,46782
2018-10-15,186.5,182.7,184.35,11658409,21487.324,28685
2018-10-16,187.25,184.55,185.85,9695745,18036.84697,31394
2018-10-17,187.8,179.1,179.95,12004524,21978.14676,43707
2018-10-19,179.75,174,174.7,10469358,18454.37772,48773
2018-10-22,176.85,170.05,170.75,11721075,20196.65261,51854
2018-10-23,175.7,169.55,170.65,15588511,26932.77113,61933
2018-10-24,175,169,170.65,15421903,26376.20602,73756
2018-10-25,169.75,164.6,165.35,14877057,24784.97163,68191
2018-10-26,172.8,165.9,168.5,19584723,33236.0887,45045
2018-10-29,176.5,167.7,175.35,14171750,24603.31074,29860
2018-10-30,181.5,176.05,177.25,15602414,27856.45578,33238
2018-10-31,180,173.45,179.1,12579712,22188.6341,38252
2018-11-01,186.05,178.2,179.45,28947802,52680.6121,70890
2018-11-02,191.85,180.9,190.3,29425248,55248.49486,67396
2018-11-05,191.3,186.65,189.8,14818506,27973.30818,41348
2018-11-06,199.95,191.75,193.25,35339222,69402.63731,59853
2018-11-07,195.75,193.35,194.85,3932893,7662.393761,5401
2018-11-09,200.75,192,195.25,22341961,43985.31804,39763
2018-11-12,194.45,185.2,186.05,20789180,39226.57956,45194
2018-11-13,183,178.35,179.5,22189598,40037.79578,49074
2018-11-14,183,176.25,176.8,15795883,28343.10898,44324
2018-11-15,182.7,177.5,180.2,18740276,33881.6199,43520
2018-11-16,181.85,177.85,179.9,10022823,18010.50373,39808
2018-11-19,185.5,179.1,184.6,14522581,26594.45144,44270
2018-11-20,188.3,183.2,183.75,13114982,24311.50694,45323
2018-11-21,186.75,183.75,184.15,8097107,14964.50715,29630
2018-11-22,186.15,181.75,182.55,9135857,16765.49532,27156
2018-11-26,184.45,177,181.75,9865426,17758.78963,45920
2018-11-27,184.55,178.55,180.05,11639680,21112.1822,55868
2018-11-28,181.35,174,174.45,12504717,22052.9496,63993
2018-11-29,179.35,173.45,177.25,20892744,37005.52883,62784
2018-11-30,174.9,170.35,171.95,18393012,31750.12952,29915
2018-12-03,176.45,170,175.45,14068885,24513.69931,38371
2018-12-04,178.75,175.3,175.75,11481923,20310.75814,24920
2018-12-05,173,168.6,169.2,14960527,25528.20508,31901
2018-12-06,168.7,161.6,162.65,15428019,25425.92958,36990
2018-12-07,164.2,160.8,162.4,13545006,22013.99505,31981
2018-12-10,160.5,156.5,157.1,13520495,21405.96137,32627
2018-12-11,159.5,154.65,158.1,12094881,19031.18966,36612
2018-12-12,167.1,158,164.1,22461175,36743.64047,57136
2018-12-13,168,165.55,166.85,12235499,20418.7587,30243
2018-12-14,168.4,164.85,166.95,10091732,16850.56156,27530
2018-12-17,175.95,167.25,173.95,28526103,49523.03673,74085
2018-12-18,177.6,173.1,174.75,18015933,31511.57475,41153
2018-12-19,176.5,172.5,173.9,11540042,20121.5793,37616
2018-12-20,177.3,171.75,176.4,15819006,27683.90589,47832
2018-12-21,180.5,175.15,176.25,23742481,42294.37225,72900
2018-12-24,177.85,171.5,172.5,11374468,19950.84873,56604
2018-12-26,172.2,167.6,170.9,12044191,20473.01453,63398
2018-12-27,173.4,167.7,168.25,15231581,25873.31015,60286
2018-12-28,172.2,169.15,170.85,8669584,14837.86775,16879
2018-12-31,173.9,171.75,172.7,8511388,14707.36018,13522
2019-01-01,174.2,171.3,173.45,6715543,11598.66971,10491
2019-01-02,171.75,168,168.55,13410104,22776.69121,23691
2019-01-03,170.15,165.1,166.05,9321842,15642.67953,17816
2019-01-04,171.95,168.5,170.95,17650435,30087.77565,36458
2019-01-07,178.2,173.2,175.35,21438351,37789.53045,39479
2019-01-08,180.5,176.1,179.95,20128985,36033.38781,36372
2019-01-09,183.6,180.2,183.05,17468948,31802.3735,37448
2019-01-10,186.85,183.55,185.75,16961888,31505.21338,30101
2019-01-11,187.75,179.4,180.3,25902974,47279.45471,47488
2019-01-14,198.3,177.45,182.4,18935120,34220.07614,39885
2019-01-15,185.8,181.25,185.35,13536578,24850.39487,36052
2019-01-16,187.35,184.05,185.45,11874245,22042.41788,34643
2019-01-17,187.3,183.4,184.9,9365756,17343.04928,20752
2019-01-18,185.65,181.3,183.3,6797621,12466.63274,19701
2019-01-21,184.95,180.65,181.5,6918258,12605.80457,21375
2019-01-22,181.5,175.95,180.85,9775717,17517.43502,36642
2019-01-23,182.7,178.55,180.25,9778926,17642.16,26093
2019-01-24,180.3,173.7,175.4,13461254,23657.94416,43055
2019-01-25,178.9,171.95,173.25,12136892,21371.57216,39231
2019-01-28,175.35,169.4,172.3,8167430,14044.35304,39070
2019-01-29,174.9,170.9,173.6,6141180,10638.29114,36653
2019-01-30,176.75,173.3,174.6,7757847,13566.30813,34072
2019-01-31,183.9,175.8,181.2,22277646,39810.40186,55481
2019-02-01,185.9,179.55,181.65,14931422,27294.92471,34116
2019-02-04,183.7,178.2,180.25,11854351,21421.0768,24887
2019-02-05,181.15,174.7,175.8,12064426,21314.15823,25864
2019-02-06,179.45,171.9,178.5,10334594,18155.88585,26249
2019-02-07,185,178.9,182.85,16152722,29477.57761,47911
2019-02-08,164.6,129,150.7,102256857,154663.1739,225476
2019-02-11,153.25,145.85,152.65,26161867,39299.93775,64088
2019-02-12,154.4,150.6,151.8,14174912,21623.067,47352
2019-02-13,156.65,151.5,155,15340343,23674.51306,37856
2019-02-14,161,153.8,159.85,16348306,25733.75483,49126
2019-02-15,162.3,153.15,161.65,20705576,32704.40371,50592
2019-02-18,163.45,159.2,162.9,13503666,21787.43149,28548
2019-02-19,165.95,161.55,163.75,14533142,23845.97026,34295
2019-02-20,166.7,163.75,164.8,11610728,19165.19176,27058
2019-02-21,170.6,165.1,169.7,14811723,24905.92243,36601
2019-02-22,175.3,167.85,174.3,13011477,22342.71631,35998
2019-02-25,177.5,173.5,175.75,15554532,27256.11124,53824
2019-02-26,183.45,172.5,182.65,31859427,57362.80849,77385
2019-02-27,186.1,176.1,177.35,19723906,35596.91941,77974
2019-02-28,181.55,176.6,177.45,18692372,33470.41332,60448
