Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
30-05-2018,919,897.2,913.6,1911011,17393.99226,21310
31-05-2018,924,890.15,900.1,4903734,44408.94798,23353
01-06-2018,912.35,898,900,1392273,12613.25707,7140
04-06-2018,907.95,881.6,885.35,1529852,13590.87931,8558
05-06-2018,886.45,858.2,863.95,2948255,25657.2348,11416
06-06-2018,904,853.3,899.45,2854320,25297.5366,17380
07-06-2018,906.7,884.2,887.15,2875636,25723.49124,14029
08-06-2018,898,880.4,896,1672490,14903.36879,9017
11-06-2018,914,896,903.35,2032601,18451.62268,12730
12-06-2018,911,901.1,904.7,1426736,12926.36222,5611
13-06-2018,926.8,905,918.15,2933810,26991.12435,15502
14-06-2018,921.35,903.25,905.25,2004165,18221.96883,7879
15-06-2018,916.9,898.5,903.45,2364375,21400.68394,10603
18-06-2018,905.25,891.7,897.7,1309586,11766.0542,11363
19-06-2018,896.45,886,889,1833168,16323.98061,10466
20-06-2018,897,880.5,888.35,1850681,16463.7097,15116
21-06-2018,894.8,866,868.4,1274479,11205.87654,11339
22-06-2018,881.75,859,877.55,2183928,19036.82771,13917
25-06-2018,885.3,862,864,1217765,10582.98993,10121
26-06-2018,874.5,862,872.15,1801638,15635.4236,13168
27-06-2018,879.5,867,869.65,2037781,17758.51985,21432
28-06-2018,868,830,836.35,9824968,82333.78776,31344
29-06-2018,881.8,826.05,878.5,4960179,42715.23633,21382
02-07-2018,906.9,870.15,897.4,3353006,29786.56745,18649
03-07-2018,902.8,883.8,893.2,2770123,24764.89134,9810
04-07-2018,899.35,882.5,886.55,1104449,9812.102691,7395
05-07-2018,870.75,833.25,838,6128988,51936.1693,27920
06-07-2018,848.5,813,829.65,6884175,57192.87839,37919
09-07-2018,836.3,817.65,821.8,4098360,33797.64519,15998
10-07-2018,840,822.4,832.85,2670508,22212.04892,15721
11-07-2018,833.15,805.6,809.5,2909483,23737.51853,24653
12-07-2018,823.25,804,808.45,2832418,23083.27053,15324
13-07-2018,842,799.65,838.7,4995028,41280.04982,32189
16-07-2018,844.1,816.1,831.2,3256321,26998.83805,18547
17-07-2018,855.2,826,845.15,2849218,24076.9495,20320
18-07-2018,856.1,838.1,846.2,2660188,22566.24194,14244
19-07-2018,874.8,847.05,869.85,3924410,33989.28465,22927
20-07-2018,876.6,857.4,860.4,2048572,17723.40912,14923
23-07-2018,866,845.2,858.75,1334621,11410.55001,16118
24-07-2018,870.9,851.5,861.65,2015425,17346.8571,16666
25-07-2018,871.6,853,865.9,1453640,12549.98017,18821
26-07-2018,869.95,850.5,854.5,1167616,10029.76614,15251
27-07-2018,894.5,852.2,884.1,3210162,28146.45136,14628
30-07-2018,903,880.8,892.05,2418684,21623.60104,10231
31-07-2018,914,886.4,912.35,2165312,19530.67403,12340
01-08-2018,920.5,905.3,917.35,1818993,16632.34996,9482
02-08-2018,933.6,909.25,921.5,2313020,21361.48898,15607
03-08-2018,942,902.2,919.2,9358677,86229.8598,60378
06-08-2018,939.1,896.75,901.65,3763151,34417.13469,24917
07-08-2018,931.9,898.7,927.25,4450697,40850.21364,20442
08-08-2018,936.5,921,935,2163746,20173.84323,11346
09-08-2018,934.8,909.3,915.3,2536080,23264.9128,9997
10-08-2018,932,913,920.1,2105317,19456.583,9833
13-08-2018,924,910.55,913.65,1316517,12085.57787,8321
14-08-2018,927,914.05,925.6,1404450,12960.45555,6961
16-08-2018,929,917,919.45,1196749,11046.12784,5772
17-08-2018,945,921.55,941.55,2697290,25308.19888,18282
20-08-2018,943.5,914.15,921.7,2529831,23446.11857,22204
21-08-2018,927.95,905.8,916.3,2531200,23132.11633,12092
23-08-2018,926.4,907.1,911.9,1571386,14343.91839,12708
24-08-2018,915.9,882.5,885.35,3218302,28768.73712,18988
27-08-2018,900,887.1,890.9,1789147,15972.95477,15743
28-08-2018,897.75,871.55,888.3,3563757,31371.15209,25345
29-08-2018,895.6,876.5,882.8,1863018,16502.84332,24798
30-08-2018,891,876,878.35,1758855,15523.38716,24987
31-08-2018,894.8,877.1,891.9,1677232,14884.31623,8265
03-09-2018,921.35,891.15,912.75,4972521,45388.94315,18214
04-09-2018,928.4,877.1,880.9,3880086,34960.45808,20608
05-09-2018,882.4,851.65,863.9,2990706,25903.75685,14423
06-09-2018,883.5,858.1,867.15,2399973,20905.69944,13284
07-09-2018,876,861.05,867.45,1297983,11284.1497,6653
10-09-2018,868,850,857.55,1576682,13522.77481,9097
11-09-2018,860.9,815.8,820.75,4918816,40875.8577,19627
12-09-2018,838.35,790.15,826.45,6728840,54626.80654,36016
14-09-2018,852,829.25,842.6,3329172,28059.20993,17868
17-09-2018,838,816.7,823.45,2843632,23495.78885,19206
18-09-2018,843.95,818.65,824.9,3331397,27755.20267,20950
19-09-2018,829.8,786.1,823.6,5347338,43481.46338,32231
21-09-2018,836.65,779.2,800.6,4259892,34658.54603,28365
24-09-2018,805,773.35,791.1,3244812,25537.96187,24209
25-09-2018,814.3,778.15,796.85,3150095,25095.61952,29921
26-09-2018,820,802.15,814.7,4080359,33138.77134,26047
