Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
23-May-2017,390,378.4,379.85,3811223,14590.707837,5003,
24-May-2017,382,367.2,369,3134390,11675.2076355,4527,
25-May-2017,376.35,365.85,373.5,7287977,27096.798987,7074,
26-May-2017,377.2,366.3,369.95,1918463,7126.10729,1775,
29-May-2017,381.4,367.7,379.35,3887542,14639.4760695,1724,
30-May-2017,379.85,365.65,372.25,1273594,4730.920284,1606,
31-May-2017,374.35,360.65,366.6,3613527,13201.5561905,2372,
01-Jun-2017,379.45,369.8,376.25,2505966,9399.1221315,1428,
02-Jun-2017,382.9,371,374.65,1334349,5028.735424,1573,
05-Jun-2017,384.9,375.6,382.45,3563721,13599.4198355,2316,
06-Jun-2017,388.9,379.8,383.15,2537956,9746.3297395,1745,
07-Jun-2017,388.6,379.7,383.2,1610112,6179.3845505,1516,
08-Jun-2017,383.1,374.8,379.85,1107704,4191.9406615,1719,
09-Jun-2017,384.75,377.1,382.65,1545424,5892.547859,1641,
12-Jun-2017,386,376.8,384.75,1660758,6344.8431035,1905,
13-Jun-2017,389.85,379.55,384.2,1863956,7168.0244645,2441,
14-Jun-2017,387.4,381.45,386.1,1317476,5068.9701955,747,
15-Jun-2017,389.1,370.65,374.8,2369536,8979.235627,1874,
16-Jun-2017,384.65,373.25,375.1,2699975,10241.210089,1719,
19-Jun-2017,383.9,373.5,376.55,2163886,8236.664612,1288,
20-Jun-2017,381.5,375.7,377.1,1331396,5039.0952795,2006,
21-Jun-2017,378.1,370.5,371.7,2388975,8935.385707,1874,
22-Jun-2017,376.5,371,375,1120673,4200.602427,872,
23-Jun-2017,378.55,371.05,372.15,2156583,8095.5320885,2490,
27-Jun-2017,375.9,368.8,373.3,1850097,6905.1983675,3729,
28-Jun-2017,379.95,371.1,376.45,1768602,6608.482646,3490,
29-Jun-2017,382.5,374.25,378.2,5450689,20652.365936,7588,
30-Jun-2017,377.05,371.25,374.55,980667,3664.041533,749,
03-Jul-2017,399.9,374.45,397.75,4181712,16374.49786,3989,
04-Jul-2017,405.9,396.6,401.55,2412278,9697.7902635,2628,
