Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
27-Jul-2018,894.5,852.2,884.1,3210162,28146.451363,14628,
30-Jul-2018,903,880.8,892.05,2418684,21623.6010405,10231,
31-Jul-2018,914,886.4,912.35,2165312,19530.674026,12340,
01-Aug-2018,920.5,905.3,917.35,1818993,16632.349955,9482,
02-Aug-2018,933.6,909.25,921.5,2313020,21361.4889765,15607,
03-Aug-2018,942,902.2,919.2,9358677,86229.859803,60378,
06-Aug-2018,939.1,896.75,901.65,3763151,34417.134688,24917,
07-Aug-2018,931.9,898.7,927.25,4450697,40850.21364,20442,
08-Aug-2018,936.5,921,935,2163746,20173.8432285,11346,
09-Aug-2018,934.8,909.3,915.3,2536080,23264.9128,9997,
10-Aug-2018,932,913,920.1,2105317,19456.5829985,9833,
13-Aug-2018,924,910.55,913.65,1316517,12085.577869,8321,
14-Aug-2018,927,914.05,925.6,1404450,12960.455546,6961,
16-Aug-2018,929,917,919.45,1196749,11046.127839,5772,
17-Aug-2018,945,921.55,941.55,2697290,25308.1988765,18282,
20-Aug-2018,943.5,914.15,921.7,2529831,23446.1185685,22204,
21-Aug-2018,927.95,905.8,916.3,2531200,23132.116332,12092,
23-Aug-2018,926.4,907.1,911.9,1571386,14343.9183875,12708,
24-Aug-2018,915.9,882.5,885.35,3218302,28768.7371205,18988,
27-Aug-2018,900,887.1,890.9,1789147,15972.954772,15743,
28-Aug-2018,897.75,871.55,888.3,3563757,31371.152092,25345,
29-Aug-2018,895.6,876.5,882.8,1863018,16502.8433235,24798,
30-Aug-2018,891,876,878.35,1758855,15523.387162,24987,
31-Aug-2018,894.8,877.1,891.9,1677232,14884.3162345,8265,
03-Sep-2018,921.35,891.15,912.75,4972521,45388.943148,18214,
04-Sep-2018,928.4,877.1,880.9,3880086,34960.4580835,20608,
05-Sep-2018,882.4,851.65,863.9,2990706,25903.7568495,14423,
06-Sep-2018,883.5,858.1,867.15,2399973,20905.6994355,13284,
07-Sep-2018,876,861.05,867.45,1297983,11284.149703,6653,
10-Sep-2018,868,850,857.55,1576682,13522.7748075,9097,
11-Sep-2018,860.9,815.8,820.75,4918816,40875.8577035,19627,
12-Sep-2018,838.35,790.15,826.45,6728840,54626.806535,36016,
14-Sep-2018,852,829.25,842.6,3329172,28059.209932,17868,
17-Sep-2018,838,816.7,823.45,2843632,23495.788852,19206,
18-Sep-2018,843.95,818.65,824.9,3331397,27755.202666,20950,
19-Sep-2018,829.8,786.1,823.6,5347338,43481.463383,32231,
21-Sep-2018,836.65,779.2,800.6,4259892,34658.5460305,28365,
24-Sep-2018,805,773.35,791.1,3244812,25537.961872,24209,
25-Sep-2018,814.3,778.15,796.85,3150095,25095.6195215,29921,
26-Sep-2018,820,802.15,814.7,4080359,33138.7713405,26047,
27-Sep-2018,843.65,815.5,821.45,7668506,63763.63447,50693,
28-Sep-2018,831.15,794.35,805.6,3145969,25510.067665,12925,
01-Oct-2018,814.4,782,809.75,2445752,19523.5248895,13216,
03-Oct-2018,813,791.2,794.5,3478716,27863.6338555,12119,
04-Oct-2018,797.5,760.3,776.7,4579535,35687.5905595,16133,
05-Oct-2018,815.7,784,792.1,7398167,59465.00948,24841,
08-Oct-2018,819,774.7,813.55,3961739,31601.487101,15077,
09-Oct-2018,820.95,732.3,749.5,8683946,67222.7411715,39030,
10-Oct-2018,796.35,740,788.55,7285084,56796.1826245,28736,
11-Oct-2018,798,754.55,778.9,3766505,29410.2842005,16618,
12-Oct-2018,809.75,777.1,805.15,4322158,34355.781975,19765,
15-Oct-2018,812,788.75,807.2,2234430,17860.8253125,12406,
16-Oct-2018,819.65,808,810.6,2347048,19085.27436,10356,
17-Oct-2018,823.3,792.55,800.1,2975579,23956.5554635,17711,
19-Oct-2018,810,782.5,788.7,2892515,22963.2013905,17939,
22-Oct-2018,795.9,773.2,774.8,2766247,21607.32094,23280,
23-Oct-2018,787,766.15,778.2,2239883,17421.190077,16603,
24-Oct-2018,794.8,772.25,791.6,2060580,16114.2493325,22184,
25-Oct-2018,796,777.8,791.25,1681346,13252.1821465,21615,
26-Oct-2018,820,786.65,806.9,3738778,30247.3343195,15343,
29-Oct-2018,834.45,807.65,829.75,2473393,20344.5275005,10006,
30-Oct-2018,841.4,819.4,830.5,1876874,15651.5956985,9616,
31-Oct-2018,847.9,818.5,844.6,2435865,20344.8354425,8206,
01-Nov-2018,862.9,834.4,854.45,2485725,21065.9432285,11447,
02-Nov-2018,884,857.9,871,3078543,26911.2019355,10744,
05-Nov-2018,872.4,856.55,863.7,1903690,16454.8432525,4991,
06-Nov-2018,877.6,840.2,846.25,2504504,21539.9547475,11414,
07-Nov-2018,855.95,847.6,850.15,331169,2817.1990935,1411,
09-Nov-2018,865,844,847.65,3528039,30147.6770035,21186,
12-Nov-2018,901.5,843.2,894.75,13985301,123159.865028,67407,
13-Nov-2018,899.65,879.1,897.5,4432001,39454.010831,21773,
14-Nov-2018,897.5,883,892.2,2606605,23207.91814,11462,
15-Nov-2018,924,889,920.8,4711756,43118.979541,22456,
16-Nov-2018,928.7,912.7,921.35,2769698,25499.4291195,14476,
19-Nov-2018,927,915.05,920.55,2104102,19385.170737,10594,
20-Nov-2018,925.2,908.85,915.45,1540046,14098.819818,9362,
21-Nov-2018,929.9,909.55,926.55,1855760,17092.6531835,10864,
22-Nov-2018,933.4,911.8,915.75,1617491,14934.262956,9321,
26-Nov-2018,920.5,892.6,916.4,2116814,19209.903269,18696,
27-Nov-2018,918,906,914.3,1126278,10282.2274465,18200,
28-Nov-2018,931,915,922.95,2434110,22545.7643485,28437,
29-Nov-2018,933.9,913,931.4,1991914,18463.8757365,21220,
30-Nov-2018,931,918,927.1,2738673,25330.750989,7421,
03-Dec-2018,939.8,920.5,936.25,2044427,19016.532599,7460,
04-Dec-2018,940.15,921.5,923.8,1424621,13226.3448885,5754,
05-Dec-2018,925.65,901.55,920.25,3020688,27557.5057295,11298,
06-Dec-2018,920,902,905.75,1425935,12977.254953,7155,
07-Dec-2018,921.45,893.3,916.6,2750589,24917.490117,11328,
10-Dec-2018,916,898,907.1,1508069,13685.333317,6339,
