Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
23-Oct-2018,2598.7,2526,2586.5,342563,8764.181209,16273,
24-Oct-2018,2619.9,2456.6,2475.15,1669762,41927.9268815,54416,
25-Oct-2018,2498.7,2420,2477.55,913688,22565.3280505,23270,
26-Oct-2018,2533.6,2446.7,2513.75,498124,12410.837493,7590,
29-Oct-2018,2558.35,2474.25,2549.1,388894,9825.93091,6459,
30-Oct-2018,2583,2532.9,2556.25,270336,6925.5777415,4036,
31-Oct-2018,2614,2486.15,2593.7,552796,14071.287267,10936,
01-Nov-2018,2619,2568.05,2598.85,356883,9263.2514595,6701,
02-Nov-2018,2700,2620,2657.75,769311,20596.581629,13401,
05-Nov-2018,2687.45,2622.55,2672.55,222067,5905.902417,3740,
06-Nov-2018,2698,2658.95,2674.6,278587,7469.2497395,4249,
07-Nov-2018,2695,2681.15,2692.55,38824,1045.3452375,329,
09-Nov-2018,2745,2673.5,2693.05,344335,9343.338774,5207,
12-Nov-2018,2726,2640.95,2652.3,272808,7314.2704925,6037,
13-Nov-2018,2673.4,2613,2665.5,305897,8094.720204,7129,
14-Nov-2018,2714.9,2652,2676.5,302299,8102.426696,7031,
15-Nov-2018,2699,2661.1,2668.85,240745,6456.0442165,3517,
16-Nov-2018,2705.9,2675.15,2695.35,317881,8558.418292,3925,
19-Nov-2018,2708,2670,2679.65,209883,5633.2966295,4289,
20-Nov-2018,2679.65,2655,2666.5,146989,3919.884085,3883,
21-Nov-2018,2673,2591.1,2604.65,381149,9981.545592,9132,
22-Nov-2018,2624,2580.8,2590.35,373650,9705.9790815,9217,
26-Nov-2018,2662.9,2576,2649.5,376778,9869.6662145,15102,
27-Nov-2018,2643.95,2570.9,2599.65,437591,11361.188917,14026,
28-Nov-2018,2625,2584,2603.9,285713,7445.86993,14741,
29-Nov-2018,2737,2602.05,2724,763933,20482.139285,17234,
30-Nov-2018,2769.7,2702,2745.7,690175,18890.0600745,10145,
03-Dec-2018,2764.95,2714,2736,386060,10578.163237,9900,
04-Dec-2018,2790,2726.25,2763.85,395469,10948.441198,8300,
05-Dec-2018,2774.5,2731.1,2764.1,178352,4909.2729015,4178,
06-Dec-2018,2799.4,2705.85,2718.1,468440,12910.882897,7921,
07-Dec-2018,2793,2716.3,2786.2,417465,11505.088164,9863,
10-Dec-2018,2769.95,2702.8,2725.1,274974,7535.334982,6040,
11-Dec-2018,2760,2685,2739.6,370479,10116.1665,7478,
12-Dec-2018,2858,2738.65,2848.4,552031,15592.6205915,14120,
13-Dec-2018,2885.65,2821.7,2836.1,466453,13290.6213685,10149,
14-Dec-2018,2837.35,2785.2,2823.15,465457,13092.1987185,10480,
17-Dec-2018,2853,2826.1,2840.95,225455,6402.117459,4296,
18-Dec-2018,2873.8,2822.05,2840.9,443162,12608.055845,8445,
19-Dec-2018,2882,2845.05,2863,393269,11268.6568685,7896,
20-Dec-2018,2900,2832,2887.2,288162,8254.8998325,10285,
21-Dec-2018,2905,2801,2808.45,386367,10966.9088065,13928,
24-Dec-2018,2832.7,2715.85,2724.65,348337,9565.5929705,14353,
26-Dec-2018,2749.8,2670,2734.6,410582,11130.9833645,19134,
27-Dec-2018,2764,2696.6,2737,558049,15228.053541,11292,
28-Dec-2018,2759.95,2711.75,2717.5,358369,9787.4681415,4463,
31-Dec-2018,2763,2710,2720.15,406069,11129.6955065,4941,
01-Jan-2019,2743.4,2705,2726.65,304150,8290.393113,3891,
02-Jan-2019,2747.25,2677,2692,599274,16198.510038,10624,
03-Jan-2019,2723.85,2682.1,2701.35,310511,8395.301047,4732,
04-Jan-2019,2742,2702.1,2734.2,362393,9877.31005,5687,
07-Jan-2019,2740,2645,2658.55,462215,12438.5816695,8281,
08-Jan-2019,2700,2635.5,2694.85,486654,13008.3110035,6550,
09-Jan-2019,2710,2672.5,2696.9,285560,7687.055604,4872,
10-Jan-2019,2729,2680,2725.3,277585,7548.1106365,3497,
11-Jan-2019,2738.7,2700.85,2720.95,259834,7067.5444435,3590,
14-Jan-2019,2747.2,2676.45,2699.15,170937,4601.3832515,3708,
15-Jan-2019,2734.8,2705,2725.85,169721,4620.558816,2897,
16-Jan-2019,2736,2706,2717.45,218357,5931.4190295,1810,
17-Jan-2019,2739.8,2700.8,2729.65,230784,6283.5976065,3793,
18-Jan-2019,2746.5,2696.65,2720.75,269686,7329.73979,3565,
21-Jan-2019,2724.75,2670,2684.6,303893,8168.4215845,5330,
22-Jan-2019,2695,2650.1,2688.35,273441,7298.455219,4602,
23-Jan-2019,2699,2665.1,2674.1,205104,5496.5333555,2524,
24-Jan-2019,2684,2635,2651.65,183566,4876.2497095,3898,
25-Jan-2019,2672,2614.05,2626.35,304062,8043.831454,5764,
28-Jan-2019,2634,2545,2565.55,332409,8526.459288,11231,
29-Jan-2019,2597.15,2522.45,2567.65,424856,10922.769712,11984,
30-Jan-2019,2653.35,2485,2499.7,2450943,62227.3818005,78652,
31-Jan-2019,2570,2461.1,2554.55,1102133,27694.2583455,34364,
01-Feb-2019,2670,2543,2602.75,1028186,26771.838273,15337,
04-Feb-2019,2672.4,2565.45,2642.5,817279,21572.7377925,10911,
05-Feb-2019,2720,2645,2710.65,469089,12635.672228,9331,
06-Feb-2019,2785,2714.15,2770.15,495030,13616.1722695,10999,
07-Feb-2019,2872,2772.15,2853.6,983573,27973.2616425,15368,
08-Feb-2019,2879.1,2831.2,2851.4,1004870,28647.357354,7667,
11-Feb-2019,2870,2819.05,2853.6,712787,20300.667075,7708,
12-Feb-2019,2854,2819.5,2832.35,280913,7951.5615905,6522,
13-Feb-2019,2845,2815,2823.95,377437,10659.5591605,5172,
14-Feb-2019,2875,2811.25,2823.1,372416,10559.2491485,5487,
15-Feb-2019,2850,2805.05,2825.95,867192,24459.180661,10204,
18-Feb-2019,2835,2767.8,2793.5,296237,8241.6192375,6225,
19-Feb-2019,2825,2777.5,2787.85,185862,5196.0042715,5097,
20-Feb-2019,2798,2737.25,2774.7,428139,11837.6633255,8906,
21-Feb-2019,2829.9,2751.7,2813.95,281964,7860.062216,6076,
22-Feb-2019,2847,2801.85,2816.85,431535,12201.558053,8184,
25-Feb-2019,2854.7,2816.9,2847.55,322524,9163.942102,11254,
26-Feb-2019,2870,2812,2859.3,369292,10517.0625895,11926,
27-Feb-2019,2941,2870,2914.7,861033,25079.855091,21460,
28-Feb-2019,2933.8,2864,2900.6,1246854,36159.989503,18714,
